B2,B3,B4,B8,B11,B12,NDVI,NDMI,NBR,BSI,EVI,Elevation,Slope,Eastness,Northness,Label
0.041725203,0.06325005,0.048647314,0.28504795,0.19606847,0.103264004,0.7084327,0.18494377,0.46813893,-0.14358523,0.4675672,1278.0,33.20369,0.52625304,0.85005766,1
0.04097713,0.0626564,0.047883544,0.28389513,0.19387583,0.102004744,0.71135247,0.18841517,0.4713409,-0.14667886,0.46684387,1028.0,30.27997,0.61543614,-0.7870599,1
0.042630084,0.06388068,0.047611445,0.29336122,0.19807334,0.102802254,0.7207316,0.19389738,0.48101094,-0.15525223,0.48786813,769.0,20.01514,0.8825639,-0.4424166,1
0.041259825,0.060920134,0.064662576,0.23061894,0.20302418,0.12680954,0.56202763,0.06363472,0.29043406,-0.0077692317,0.3169173,557.0,27.480515,0.8773951,-0.41727725,1
0.045433506,0.06639405,0.06369841,0.25149578,0.21098006,0.12176908,0.5958148,0.08760613,0.34754598,-0.03892672,0.36312222,352.0,22.035112,-0.69388115,0.7094306,1
0.042311456,0.063758425,0.051722515,0.27732027,0.19867669,0.10694997,0.6856183,0.16521865,0.44336063,-0.12145396,0.4439784,871.0,29.185131,0.989459,-0.11276601,1
0.042748027,0.06413307,0.05302652,0.27497983,0.2002506,0.10858277,0.6766738,0.15724842,0.43381983,-0.11287247,0.43604773,1075.0,27.468172,0.6444183,-0.7636102,1
0.04290313,0.06426559,0.053624958,0.2736822,0.20086144,0.10931847,0.6723264,0.1534543,0.42914736,-0.108741045,0.43193927,936.0,30.385649,-0.01105689,-0.9973311,1
0.04302874,0.06425448,0.048793934,0.2911996,0.19947366,0.10419422,0.7129714,0.18693893,0.4729598,-0.14757311,0.48048782,747.0,22.83653,-0.60706043,0.7940544,1
0.043096535,0.0643689,0.049868915,0.28772697,0.19998786,0.105282545,0.70456445,0.17989838,0.46422395,-0.13943426,0.47055265,1192.0,31.996689,0.069129854,0.9771405,1
0.042107087,0.063516065,0.04792584,0.28953913,0.19680728,0.10274566,0.7159655,0.19067037,0.476168,-0.15079148,0.47890076,1195.0,25.56743,0.9840693,-0.17410524,1
0.0390704,0.059973713,0.056951143,0.2448474,0.19369498,0.11464908,0.62258834,0.11664192,0.36216855,-0.06224079,0.36314738,463.0,22.633425,-0.576657,0.7736107,1
0.043485522,0.06466354,0.049727667,0.29021055,0.2009395,0.10536381,0.70743114,0.1817592,0.46728694,-0.14208439,0.47622818,1351.0,24.697796,-0.7248676,-0.6887997,1
0.04485519,0.06601008,0.05350947,0.28365055,0.20557813,0.10965008,0.6825871,0.15958266,0.44241086,-0.11813975,0.4536432,824.0,28.317532,-0.9673068,-0.22150971,1
