dname,population,area_km2,pop_density
เขตบางพลัด,207445.171875,11.804589327000373,17573.264611629926
เขตห้วยขวาง,274343.75,16.319303995281775,16810.995743404135
เขตวังทองหลาง,397509.5,17.075615935319224,23279.36523670522
เขตทวีวัฒนา,144887.359375,51.73225789680868,2800.7159413766467
เขตลาดกระบัง,570721.3125,128.62833161983346,4436.979826394633
เขตดินแดง,143831.90625,8.465909672159754,16989.539437562507
เขตตลิ่งชัน,178726.75,35.76779832391992,4996.861936578172
เขตดุสิต,65770.03125,11.329924757517832,5804.983939223348
เขตสะพานสูง,171070.28125,28.068716177690273,6094.695609411982
เขตพญาไท,146070.5625,9.214687866548845,15851.92733768718
เขตบางกอกน้อย,133827.46875,12.323971874000081,10859.118319828058
เขตราชเทวี,90224.4453125,7.167667826199112,12587.699025715654
เขตพระนคร,35852.515625,5.361078921278173,6687.556022109846
เขตป้อมปราบศัตรูพ่าย,21169.1796875,2.504118422132677,8453.745438073529
เขตปทุมวัน,54066.3046875,8.032785580551321,6730.7043298159615
เขตบางแค,404448.4375,47.890762811045015,8445.228552649454
เขตสวนหลวง,379632.4375,24.11361276994568,15743.490663214097
เขตวัฒนา,286841.375,12.996572565016747,22070.54002622963
เขตบางกอกใหญ่,75146.34375,6.29828614891776,11931.236843361343
เขตภาษีเจริญ,219357.34375,19.182537280379375,11435.262214992123
เขตสัมพันธวงศ์,8651.68359375,1.3929758948543114,6210.935613250409
เขตคลองเตย,163360.25,13.240430328228117,12337.986451370985
เขตธนบุรี,110461.78125,8.461882857865449,13054.042830116006
เขตคลองสาน,65179.06640625,5.9659891694545015,10925.10639140326
เขตประเวศ,310715.125,53.72888250676876,5783.018564751577
เขตบางรัก,48074.87109375,4.012585033685187,11981.022380875926
เขตหนองแขม,279581.65625,36.20146693158831,7722.937216282954
เขตสาทร,156219.09375,7.259159133695889,21520.2740252456
เขตยานนาวา,242256.34375,12.504810437926842,19373.052070844777
เขตจอมทอง,184108.28125,23.16720968123219,7946.933781980078
เขตบางคอแหลม,115061.359375,8.312185815769809,13842.491244205172
เขตพระโขนง,182958.859375,13.578725259673153,13473.934841171087
เขตราษฏร์บูรณะ,106895.875,12.333158518723652,8667.355960576964
เขตบางบอน,232008.296875,35.85731775163855,6470.319349650688
เขตบางนา,230758.625,18.94756833765422,12178.79893017284
เขตบางขุนเทียน,509147.75,122.208093971482,4166.235913300577
เขตดอนเมือง,274709.03125,36.691518176596006,7486.990042980164
เขตหนองจอก,265146.53125,240.44868562177487,1102.7156607837514
เขตสายไหม,273891.5,43.61296989275399,6280.046983122452
เขตคลองสามวา,462584.09375,120.17716474818522,3849.184616056483
เขตหลักสี่,230579.125,22.66925397846153,10171.447424740021
เขตบางเขน,298983.6875,40.95918184606742,7299.552237728743
เขตจตุจักร,519894.5625,32.6567862036162,15919.954868137951
เขตคันนายาว,165773.09375,25.380567508937993,6531.496732357207
เขตมีนบุรี,382795.375,61.1205439141198,6262.957599622543
เขตลาดพร้าว,224096.3125,21.26647986275732,10537.536721930464
เขตบางซื่อ,115624.8984375,12.885816371239047,8973.036329741053
เขตบึงกุ่ม,128211.40625,23.405006614376568,5477.94787510318
เขตบางกะปิ,649387.8125,27.58746325621562,23539.236154802635
เขตทุ่งครุ,200684.28125,32.95069221734308,6090.442043714425
